,Company,Ticker,Sector,Industry,No.Yrs,CCCSeq,DRIP DR,Fees SP,Price,Div.Yield,Current Dividend,Payouts/Year,Annualized,Qtly Sch,Previous Payout,Last Increased on:Ex-Div,Last Increased on:Pay,MR%Inc.,DGR 1-yr,DGR 3-yr,DGR 5-yr,DGR 10-yr,5/10 A/D*,Past 5yr DEG,&=MultiIncThisYrNotes,EPS %Payout,TTM P/E,FYE Month,TTM EPS,PEG,TTM P/Sales,MRQ P/Book,TTM ROE,TTM Growth,NY Growth,Past 5yr Growth,Est-5yr Growth,MktCap($Mil),Inside Own.,Debt/Equity,TweedFactor,Chowder Rule,+/-% vs.Graham,Estimated Div:2018,2019,2020,2021,2022,Est. Payback$,Est. Payback%,5-yr Beta,52-wk Low,52-wk High,50-day MMA,200-day MMA,OTC,StreakBegan,RecessionsSurvived,TTM ROA,1/3 A/D,updated,P/E
15,AptarGroup Inc.,ATR,Materials,Containers & Packaging,27,120,-,-,132.97,1.0829510415883281,0.36,4,1.44,B23,0.34,2019-04-30 00:00:00,2019-05-22 00:00:00,5.8823529411764595,1.4084507042253502,4.0041911525952045,4.783168830275741,8.113980082193862,0.5894972358599216,0.9198401596684118,2020 = Year 27,45.714285714285715,42.212698412698415,12,3.15,7.45,3.07,4.96,12.8,25.6,14.680000000000001,5.2,5.76,8750,0.2,0.68,-36.346578540834344,5.866119871864069,205.0500753989119,1.584,1.7424000000000002,1.8427622400000003,1.9489053450240006,2.061162292897383,9.179229877921383,6.9032337203289345,0.64,66.55,-5.92,0.04,12.18,,1994,2,5.6000000000000005,0.35174412273312733,False,0
16,American States Water,AWR,Utilities,Water Utilities,66,1,N,N,77.26,1.7344033134869274,0.335,4,1.34,C01,0.305,2020-08-14 00:00:00,2020-09-01 00:00:00,9.836065573770501,10.344827586206918,8.794730760665082,7.929386247272796,9.42603488580749,0.8412218226787858,1.0297904217237397,,60.08968609865472,34.64573991031391,12,2.23,7.23,6.01,4.56,13,32.1,6.0600000000000005,7.7,4.8500000000000005,2860,0.1,0.84,-24.981950349554182,9.663789560759724,164.98182242983418,1.4080000000000001,1.4933248000000001,1.5657510528,1.6416899788608,1.7213119428355488,7.830077774496349,10.134711072348367,-0.03,18.66,-20.05,-0.79,-0.5599999999999999,,1955,8,4.8,1.1762529027579478,False,0
17,BancFirst Corp. OK,BANF,Financials,Banks,27,117,-,-,57.63,2.359882005899705,0.34,4,1.36,A13,0.32,2020-09-29 00:00:00,2020-10-15 00:00:00,6.250000000000005,6.557377049180335,18.56311014966876,13.506008649089129,10.709413348297648,1.261134313322216,0.9064435334959148,,45.333333333333336,19.21,12,3,2.84,5.74,1.87,10.9,7.5,5.16,14.899999999999999,7.000000000000001,1900,0.1,0.03,-3.3441093450111676,15.865890654988833,26.355231171663206,1.3975,1.469611,1.57248377,1.6825576339000001,1.8003366682730002,7.922489072173001,13.747161325998611,1.43,121.64999999999999,-12.34,-2.36,26.369999999999997,,1994,2,1.2,0.353247758393404,False,0
18,Becton Dickinson & Co.,BDX,Health Care,Health Care Equipment & Supplies,49,39,N,N,261.79,1.2681920623400433,0.83,4,3.32,C29,0.79,2020-12-09 00:00:00,2020-12-31 00:00:00,5.063291139240497,3.2258064516129004,2.864980786218174,5.400573572878575,8.016182967543806,0.673708870511639,,FY Streak,121.6117216117216,95.8937728937729,9,2.73,9.88,4.41,3.13,3.4000000000000004,-27.700000000000003,6.76,-4.1000000000000005,9.5,75430,0.1,0.75,-89.22500725855429,6.668765635218619,265.2381318522109,3.232,3.4504832000000007,3.7782791040000006,4.137215618880001,4.530251102673601,19.1282290255536,7.306707294225753,0.79,32.379999999999995,-8.690000000000001,6.05,5.86,,1973,5,1.4000000000000001,1.1259434852514394,False,0
19,Franklin Resources,BEN,Financials,Capital Markets,41,64,N,Y,26.29,4.260174971472043,0.28,4,1.12,A10,0.27,2020-12-30 00:00:00,2021-01-15 00:00:00,3.703703703703707,3.8461538461538547,10.520944959211608,12.474611314209483,13.921641423114227,0.8960589441341142,,,70.44025157232706,16.534591194968552,9,1.59,4.49,2.52,1.35,7.8,-32.300000000000004,5.37,-13.5,3.8899999999999997,14020,18.7,0.0,0.20019509071297392,16.734786285681526,-0.397014517730776,1.0908,1.14937596,1.194086684844,1.2405366568844314,1.2887935328372357,5.963592834565667,22.683882976666666,1.28,76.32,-8.04,7.5200000000000005,22.63,,1981,3,4.8,0.3655711403362449,False,0
20,Brown-Forman Class B,BF-B,Consumer Staples,Beverages,37,75,Y,Y,71.67,1.0018138691223664,0.1795,4,0.718,A02,0.1743,2020-12-03 00:00:00,2021-01-04 00:00:00,2.9833620195065875,5.000000000000004,6.083582363320428,6.286682536874455,8.09876692418452,0.7762518165698999,1.0477804228124092,,37.395833333333336,37.328125,4,1.92,4.38,10.39,14.77,43.3,15.9,0.53,6,8.82,34760,0.3,1.11,-30.03962859400318,7.288496405996821,395.01353797424343,0.7669200000000002,0.7709846760000002,0.8389855244232003,0.9129840476773265,0.9935092406824668,4.283383488782993,5.976536191967341,0.77,60.41,-14.06,-7.7,-0.22,,1985,3,15.5,0.8218841632105393,False,0
21,Black Hills Corp.,BKH,Utilities,Multi-Utilities,50,31,N,N,59.12,3.822733423545331,0.565,4,2.26,C01,0.535,2020-11-16 00:00:00,2020-12-01 00:00:00,5.607476635514002,5.853658536585371,6.233230002818191,6.020279266594519,4.1860862762268525,1.438164163214745,2.736490575724782,,63.661971830985905,16.653521126760563,12,3.55,3.56,2.26,1.48,8.9,-31.4,6.239999999999999,2.1999999999999997,4.72,3810,0.4,1.44,-6.810508436620712,9.843012690139851,4.6628688644441585,2.1917,2.32846208,2.438365490176,2.553456341312307,2.673979480622248,12.185963392110555,20.612252016425163,0.31,22.99,-32.14,-2.67,0.25,,1972,5,2.9000000000000004,0.939105172428868,False,0
22,Badger Meter Inc.,BMI,Information Technology,"Electronic Equipment, Instruments & Components",28,106,N,Y,91.71,0.7850834151128557,0.18,4,0.72,C15,0.17,2020-08-27 00:00:00,2020-09-11 00:00:00,5.8823529411764595,9.375,12.624788044360603,12.410450056630019,10.411032000450016,1.1920480175350128,1.3202606443223424,,43.373493975903614,55.24698795180723,12,1.66,3.91,6.48,7.99,14.299999999999999,69.6,8.219999999999999,9.4,14.899999999999999,2730,0.1,0.0,-42.05145448006435,13.195533471742875,342.9313634990011,0.77,0.8332940000000001,0.9166234000000002,1.0082857400000003,1.1091143140000004,4.637317454000001,5.056501421873297,0.75,120.99,-16.009999999999998,0.5,28.59,,1993,2,11.1,0.7425867243916021,False,0
23,Brady Corp.,BRC,Industrials,Commercial Services & Supplies,35,79,N,N,45.91,1.916793726856894,0.22,4,0.88,A31,0.2175,2020-10-08 00:00:00,2020-10-30 00:00:00,1.1494252873563229,2.046783625731008,1.9866147229893327,1.6866825195069879,2.1545304377299512,0.7828538831338602,0.018293736654088805,,43.34975369458128,22.61576354679803,7,2.03,3.34,2.3,2.81,12.4,-14.299999999999999,11.12,92.2,7.000000000000001,2470,1.2,0.0,-19.012287300434146,3.603476246363882,68.06122636507932,0.881225,0.9693475000000001,1.0372018250000001,1.1098059527500002,1.1874923694425001,5.185072647192501,11.29399400390438,0.77,39.12,-20.02,-5.91,-0.05,,1986,3,9.2,1.0302871523327568,False,0
24,Brown & Brown Inc.,BRO,Financials,Insurance,27,124,-,-,43.09,0.8586679043861684,0.0925,4,0.37,B08,0.085,2020-11-03 00:00:00,2020-11-18 00:00:00,8.823529411764696,6.923076923076921,7.786393421382742,8.961542892352625,8.321203925318322,1.0769526829027696,0.6096287681872534,,22.981366459627328,26.763975155279503,12,1.61,2.26,4.89,3.27,14.7,15.2,4.54,14.7,12.049999999999999,12460,1.9,0.57,-16.94376435854071,9.820210796738793,97.22316604717834,0.38225,0.39960415,0.439564565,0.48352102150000004,0.5318731236500001,2.23681286015,5.191025435483871,0.64,40.36,-11.63,-6.7299999999999995,-1.4000000000000001,,1995,2,6.4,0.8891249835983102,False,0
25,Caterpillar Inc.,CAT,Industrials,Machinery,27,122,N,Y,182.84,2.2533362502734633,1.03,4,4.12,B19,0.86,2019-07-19 00:00:00,2019-08-20 00:00:00,19.76744186046512,8.994708994709,9.94576549774746,6.981818813161023,9.128171118390549,0.7648650230816483,0.32174280244981673,2020 = Year 27,68.55241264559069,30.42262895174709,12,6.01,,2.3,6.69,23.1,3.4000000000000004,37.37,21.7,-1.1199999999999999,100280,0.1,2.55,-21.187473888312603,9.235155063434487,200.76006508488015,4.26008,4.686088000000001,4.73294888,4.7802783688,4.828081152488,23.287476401288,12.736532706895645,0.94,108.96,-8.66,0.38999999999999996,23.200000000000003,,1994,2,4.3,0.9043757362614414,False,0
26,Chubb Limited,CB,Financials,Insurance,27,114,N,N,145.67,2.1418274181368853,0.78,4,3.12,A21,0.75,2020-06-18 00:00:00,2020-07-10 00:00:00,4.0000000000000036,3.378378378378377,3.0040889085006572,2.996744995959233,9.106630967003525,0.3290728488743507,1.0333603434342182,"Switz.,US$",62.02783300198808,28.960238568588466,12,5.03,4.44,1.96,1.18,4.2,15.1,65.44,2.9000000000000004,6.59,68430,0.3,0.29,-23.82166615449235,5.138572414096118,23.239751002190644,3.3660000000000005,3.702600000000001,3.9466013400000013,4.2066823683060015,4.483902736377368,19.705786444683373,13.52769028947853,0.68,66.77,-13.16,-4.46,11.799999999999999,,1994,2,1.3,1.1245933397039598,False,0
27,Commerce Bancshares,CBSH,Financials,Banks,52,25,-,-,66.85,1.6155572176514588,0.27,4,1.08,C26,0.26,2020-03-05 00:00:00,2020-03-23 00:00:00,3.8461538461538494,3.8461538461538547,9.77917130068915,7.8419391443819375,6.465548440523139,1.2128807349477428,0.6645711139306727,Adj/Stk Div,43.027888446215144,26.633466135458168,12,2.51,,8.75,2.39,9.4,-0.5,-3.25,11.799999999999999,-8.7,7820,2.1999999999999997,0.0,-17.17596977342477,9.457496362033396,68.1982746162596,1.0908,1.101708,1.11272508,1.1238523308,1.1350908541079998,5.564176264907999,8.323375115793567,0.97,54.24,-8.64,0.5,13.3,,1969,6,1,0.39330059039694004,False,0
28,Community Bank System,CBU,Financials,Banks,29,95,N,N,64.85,2.5905936777178105,0.42,4,1.68,C01,0.41,2020-09-14 00:00:00,2020-10-09 00:00:00,2.4390243902439046,6.451612903225801,8.271344701570783,6.224531104836717,6.0155599874165855,1.03473843131101,0.7980168083123996,,55.81395348837209,21.54485049833887,12,3.01,2.73,8.66,1.68,7.9,-0.5,-8.21,7.8,8,3390,0.7000000000000001,0.04,-12.729725715784344,8.815124782554527,26.833835018209395,1.6664999999999999,1.6831649999999998,1.8178181999999998,1.963243656,2.12030314848,9.251030004479999,14.265273715466462,0.73,37.95,-8.17,-0.52,8.28,,1993,2,1.2,0.7799956519767091,False,0
29,Cullen/Frost Bankers,CFR,Financials,Banks,27,121,-,-,92.24,3.1222896790980053,0.72,4,2.88,C15,0.71,2020-11-27 00:00:00,2020-12-15 00:00:00,1.4084507042253533,1.7857142857143016,8.198385552319753,6.298004826234438,4.819597031995881,1.3067492540193388,0.6426535536973915,,54.339622641509436,17.40377358490566,12,5.3,1.74,5.45,1.42,7.1,-0.7000000000000001,-6.4399999999999995,9.8,10.02,5730,0.7000000000000001,0.06,-7.983479079573218,9.420294505332443,4.8032198202708765,2.8785000000000003,2.9072850000000003,3.1980135000000005,3.517814850000001,3.8695963350000016,16.371209685000004,17.748492720078062,1.49,93.42,-6.550000000000001,2.9499999999999997,22.43,,1994,2,0.8,0.2178129186921478,False,0
30,Church & Dwight,CHD,Consumer Staples,Household Products,25,140,Y,Y,84.43,1.1962572545303802,0.2525,4,1.01,C01,0.24,2021-02-12 00:00:00,2021-03-01 00:00:00,5.208333333333338,5.494505494505497,8.098386987445227,7.458131835184778,20.003511246606287,0.37284113490075865,0.7311893956063509,,32.58064516129032,27.235483870967744,12,3.1,2.88,4.56,6.71,26.700000000000003,7.7,8.450000000000001,10.2,9.74,21630,0.1,0.56,-18.581094781252588,8.654389089715158,184.99520212272859,1.03392,1.1212862399999999,1.2304995197759998,1.350350173002182,1.4818742798525946,6.217930212630777,7.3645981435873225,0.35,75.97,-14.680000000000001,-2.09,-0.63,,1997,2,11.1,0.6784691202116573,False,0
31,Cincinnati Financial,CINF,Financials,Insurance,60,9,N,N,84.09,2.8540849090260436,0.6,4,2.4,A16,0.56,2020-03-17 00:00:00,2020-04-15 00:00:00,7.142857142857128,6.7873303167420795,6.026787816164503,5.3338899855576605,4.061066755408804,1.3134209080541766,0.17317824628433962,,49.48453608247423,17.33814432989691,12,4.85,,1.99,1.41,8.6,593.3,33.11,30.8,-2.7,13930,0.6,0.1,-9.150169435313206,8.187974894583704,4.236448104307833,2.596,2.8556000000000004,2.8841560000000004,2.9129975600000004,2.9421275356000005,14.190881095600004,16.875824825306225,0.6,82.53,-27.21,-0.08,11.27,,1961,6,3.2,1.126193674603529,False,0
32,Colgate-Palmolive Co.,CL,Consumer Staples,Household Products,57,14,Y,Y,78,2.2564102564102564,0.44,4,1.76,B15,0.43,2020-04-17 00:00:00,2020-05-15 00:00:00,2.325581395348839,2.3391812865497075,3.2476815178249963,3.131030647754507,5.598366619298689,0.5592757424926796,1.0100098863724216,,56.23003194888179,24.920127795527158,12,3.13,3.47,4.26,104.14,,-3.2,6.41,3.1,7.28,68790,0.1,11.08,-19.532686891362395,5.387440904164763,973.9712614872582,1.7675,1.8807967500000002,2.0177187534,2.16460867864752,2.3221921904530594,10.15281637250058,13.016431246795616,0.59,33.36,-9.73,-6.75,0.76,,1964,6,17.7,0.7202619079829847,False,0
33,Clorox Company,CLX,Consumer Staples,Household Products,43,62,N,Y,209.46,2.119736465196219,1.11,4,4.44,B11,1.06,2020-07-28 00:00:00,2020-08-14 00:00:00,4.7169811320754755,7.425742574257432,9.783893391683463,7.521807701470751,7.529355673992777,0.9989975274314511,0.7521807701470751,,49.44320712694878,23.325167037861917,6,8.98,4.5,3.61,23.76,140.7,16.400000000000002,-1.15,10,5.19,25750,0.4,0.0,-13.683622871194947,9.64154416666697,396.300074470901,4.774,4.82174,5.071988306000001,5.335224499081401,5.612122650583727,25.615075455665128,12.229101239217572,0.2,35.25,-12.68,3.73,-0.4,,1978,4,18.9,0.7589762354288822,False,0
34,Canadian National Railway,CNI,Industrials,Road & Rail,26,134,-,-,101.17,1.8977957892655926,0.48,4,1.92,C29,0.435,2021-03-09 00:00:00,2021-03-31 00:00:00,10.344827586206893,6.078576723498896,10.393514701190675,11.742594154355146,12.613490387882042,0.9309551752333693,1.349723466017833,"@,Canada",52.892561983471076,27.870523415977964,12,3.63,5.88,6.91,4.84,18.2,-0.6,17.79,8.7,4.88,75140,0.2,0.71,-14.230133472357226,13.640389943620738,144.85218519056065,1.734372,1.9078092000000002,2.00091028896,2.098554711061248,2.2009641809610367,9.942610380982286,9.827627143404454,0.83,55.34,-12.9,-7.7299999999999995,1.87,,1998,2,7.6,0.58484323140492,False,0
35,Chesapeake Financial Shares,CPKF,Financials,Banks,30,97,-,-,23.5,2.2127659574468086,0.13,4,0.52,C15,0.125,2021-02-26 00:00:00,2021-03-15 00:00:00,4.0000000000000036,2.564102564102577,5.566719197800074,5.2300215891077695,7.225097432836924,0.7238686588969927,,2020 = Year 29,,,12,,,,,,,,,,,,,,7.4427875465545785,,0.515,0.53045,0.5463635,0.5627544050000001,0.57963703715,2.73420494215,11.634914647446807,,,,,,OTC,1992,2,,0.46061288040465403,False,0
36,Carlisle Companies,CSL,Industrials,Industrial Conglomerates,44,60,N,N,144.93,1.4489753674187538,0.525,4,2.1,C01,0.5,2020-08-17 00:00:00,2020-09-01 00:00:00,5.000000000000004,13.888888888888884,12.494284117457898,13.258872838875678,12.000765903888633,1.1048355534190846,0.8035680508409502,,34.09090909090909,23.527597402597404,12,6.16,1.6,1.83,3.23,13.4,41.199999999999996,28.98,16.5,15,7910,0.7000000000000001,0.84,-8.819749196302972,14.707848206294432,83.78023060213296,2.255,2.4805,2.7285500000000003,3.0014050000000005,3.301545500000001,13.767000500000002,9.499068860829366,0.95,48.57,-14.680000000000001,-4.8500000000000005,11.1,,1977,4,5.800000000000001,1.111619421994922,False,0
37,Computer Services Inc.,CSVI,Information Technology,IT Services,49,36,-,-,62,1.6129032258064515,0.25,4,1,C25,0.21,2020-08-31 00:00:00,2020-09-25 00:00:00,19.04761904761905,17.948717948717952,15.960996446521513,14.376813711391033,16.19926918107715,0.8874976735484474,,Adj Split,48.309178743961354,29.95169082125604,2,2.07,,5.83,6.46,23.200000000000003,,,,,1680,,0.0285,-13.961973884058555,15.989716937197485,193.24841399992755,0.9476000000000001,0.9760280000000001,1.00530884,1.0354681052,1.0665321483560002,5.030937093556001,8.114414667025809,0.57,67.52229127262903,-2.3622047244094446,1.572739187418093,4.219196503614042,OTC,1972,5,12.479999999999999,1.124536178480864,False,0
38,Cintas Corp.,CTAS,Industrials,Commercial Services & Supplies,39,73,-,-,318.12,0.943040362127499,0.75,4,3,Dec,0.7,2021-02-11 00:00:00,2021-03-15 00:00:00,7.1428571428571495,10.196078431372557,20.15184253513176,21.75965367973727,19.32913932940641,1.1257435372010172,1.1392488837558779,,33.74578177727784,35.78402699662542,5,8.89,2.92,5.02,9.47,27.800000000000004,1.6,2.03,19.1,12.5,34800,0.7000000000000001,0.71,-13.081332954760654,22.702694041864767,288.08632238948695,2.85496,2.912915688,3.2042072568,3.5246279824800006,3.877090780728001,16.373801708008003,5.147051964041243,1.47,106.13,-13.84,-8.49,4.44,,1984,3,11.899999999999999,0.5059625894553911,False,0
39,Community Trust Banc.,CTBI,Financials,Banks,40,65,N,-,36.46,4.223806911684037,0.385,4,1.54,A01,0.38,2020-09-14 00:00:00,2020-10-01 00:00:00,1.3157894736842117,3.040540540540526,5.7369334867678035,4.736219711165912,3.3207894490210332,1.4262330641173733,0.5995214824260648,,45.97014925373134,10.883582089552238,12,3.35,2.2,3.66,1.01,9.2,8.7,-1.8900000000000001,7.9,5,646.16,1,0.09,-1.9235554667022896,8.960026622849949,-30.103511738356147,1.6576749999999998,1.6742517499999998,1.7579643374999998,1.8458625543749998,1.9381556820937498,8.87390932396875,24.3387529456082,0.89,37.84,-19.34,-1.37,10.41,,1981,3,1.2,0.5299940373290908,False,0
40,Chevron Corp.,CVX,Energy,"Oil, Gas & Consumable Fuels",33,86,Y,Y,85.2,6.056338028169014,1.29,4,5.16,C12,1.19,2020-02-14 00:00:00,2020-03-10 00:00:00,8.403361344537823,9.033613445378164,6.306838741420662,3.9309070950814595,6.214767253100639,0.6325107497984372,,,,,12,-6.41,,1.65,1.25,-8.3,-80,5228.6,-31.4,-1.4500000000000002,171890,0.04,0.26,,9.987245123250474,,5.2419,5.766090000000001,5.823750900000001,5.881988409000002,5.940808293090002,28.654537602090006,33.63208638742958,1.35,65.12,-24.33,-4.73,-0.49,,1988,3,-5,1.4323520571485668,False,0
41,California Water Service,CWT,Utilities,Water Utilities,54,19,N,N,54.64,1.6837481698389458,0.23,4,0.92,B23,0.2125,2021-02-05 00:00:00,2021-02-19 00:00:00,8.235294117647067,7.594936708860756,5.688761756416616,4.874239514341783,3.6311209910314224,1.342351170996715,,,,,12,-0.64,,3.45,3.04,11.600000000000001,-153.7,1.18,-24.7,10.75,2700,0.8999999999999999,1.33,,6.557987684180729,,0.8584999999999999,0.8686303,0.95549333,1.051042663,1.1561469293000002,4.8898132223,8.949145721632505,0.12,37.49,-4.74,3.38,13.29,,1968,6,2.8000000000000003,1.3350773040010118,False,0
